what,kind,bundleId,bundleVersion,description,time
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1280360798486
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1280360799022
stopped,bundle,com.yourkit.profiler,8.0.4108,com.yourkit.profiler,1280360799023
stopped,bundle,com.jprofiler.integrations.eclipse,5.2.4,com.jprofiler.integrations.eclipse,1280360799053
stopped,bundle,org.eclipse.mylyn.pde.ui,3.3.2.v20100222-0100-e3x,org.eclipse.mylyn.pde.ui,1280360799053
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1280360799055
stopped,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1280360799055
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1280360799056
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1280360799057
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1280360799057
stopped,bundle,org.drools.eclipse,5.0.1,org.drools.eclipse,1280360799057
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.102.v20090424,org.eclipse.jst.server.tomcat.ui,1280360799058
stopped,bundle,org.eclipse.jst.server.ui,1.1.0.v20090421,org.eclipse.jst.server.ui,1280360799078
stopped,bundle,org.maven.ide.eclipse.launching,0.9.9.200912160759,org.maven.ide.eclipse.launching,1280360799122
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1280360799156
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.405.v200905022002,org.eclipse.jst.server.generic.ui,1280360799157
stopped,bundle,org.eclipse.jem.ui,2.0.100.R3_0_4,org.eclipse.jem.ui,1280360799158
stopped,bundle,org.eclipse.ve.jfc,1.4.0.v20090826-1446,org.eclipse.ve.jfc,1280360799245
stopped,bundle,org.eclipse.ve.swt,1.4.0.v20090826-1446,org.eclipse.ve.swt,1280360799355
stopped,bundle,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.java.core,1280360799374
stopped,bundle,org.eclipse.dltk.javascript.debug.ui,1.0.0.v20090609,org.eclipse.dltk.javascript.debug.ui,1280360799375
stopped,bundle,org.eclipse.dltk.javascript.jsjdtdebugger,1.0.0.v20090610-1638,org.eclipse.dltk.javascript.jsjdtdebugger,1280360799401
stopped,bundle,org.eclipse.dltk.javascript.launching,1.0.0.v20090528-1923,org.eclipse.dltk.javascript.launching,1280360799402
stopped,bundle,org.eclipse.dltk.javascript.debug,1.0.0.v20090528-1923,org.eclipse.dltk.javascript.debug,1280360799437
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1280360799439
